Budget decile,Films,Median budget,Median revenue,Median ROI,Median profit,Share breaking even,Median rating
1,774,800000.0,2500000.0,4.0191333333333334,1713500.0,0.6149870801033591,6.8
2,807,3000000.0,7537453.0,2.7174515235457064,4650000.0,0.5192069392812887,6.714
3,840,5500000.0,10448377.5,1.8432292142857143,4989024.5,0.4119047619047619,6.5245
4,684,9000000.0,14926142.0,1.6940418,6003112.5,0.3611111111111111,6.457000000000001
5,840,13000000.0,22176498.0,1.7604548988095239,9415376.0,0.3880952380952381,6.553
6,725,19000000.0,26877589.0,1.39877145,7728118.0,0.33793103448275863,6.409
7,879,25000000.0,36400360.0,1.4119298148148147,10800000.0,0.3117178612059158,6.39
8,711,38000000.0,61601280.0,1.6575789393939393,25321861.0,0.3530239099859353,6.4
9,726,60000000.0,107752810.5,1.8082498723076923,48127885.0,0.34573002754820936,6.4005
10,747,117000000.0,300257475.0,2.476044346153846,176743061.0,0.49129852744310576,6.639
