Budget,Films,Share of films
100,3531,0.04134950933320842
1000,3107,0.03638428929432981
500,2619,0.030669602079771412
5000,2286,0.026770030681312503
10000,2165,0.0253530693022929
2000,1932,0.022624540365833664
10,1887,0.022097571257933813
200,1868,0.021875073190153874
50,1863,0.021816521067053892
1,1731,0.020270745017214323
3000,1433,0.016781038480455302
20,1393,0.016312621495655433
300,1334,0.015621706443075626
5,1095,0.01282291495889641
20000,1032,0.012085158207836616
1000000,960,0.011242007635196852
1500,941,0.011019509567416914
15000,929,0.010878984471976954
100000,928,0.010867274047356957
50000,831,0.009731362859217276
150,773,0.009052158231257466
4000,762,0.008923343560437502
2,750,0.00878281846499754
30,747,0.00874768719113755
500000,719,0.008419795301777642
400,678,0.007939667892357777
25000,672,0.007869405344637797
2500,668,0.007822563646157809
2000000,645,0.007553223879897885
250,622,0.00728388411363796
