Production Company,Films,Median budget,Median revenue,Median ROI,Share breaking even,Median rating
Blumhouse Productions,65,5000000.0,78903124.0,11.2983889,0.8153846153846154,6.295
Walt Disney Productions,33,4000000.0,36359037.0,8.0712,0.6666666666666666,7.014
Lucasfilm Ltd.,25,37000000.0,392952373.0,6.0058696,0.68,7.024
EON Productions,28,29000000.0,170802844.0,5.892333703017242,0.8928571428571429,6.5105
Marvel Studios,35,200000000.0,772776600.0,3.9947074230769233,0.8285714285714286,7.303
CJ Entertainment,34,8547500.0,33081227.0,3.933676338582677,0.6470588235294118,7.029999999999999
Pixar,28,175000000.0,530147533.5,3.7838288049999997,0.6785714285714286,7.6465
Amblin Entertainment,76,48000000.0,157663032.0,3.491798983697479,0.618421052631579,6.8305
United Artists,140,6500000.0,20375377.0,3.4333333333333336,0.5785714285714286,6.890000000000001
RKO Radio Pictures,29,952000.0,2727000.0,3.375,0.5862068965517241,6.9
DreamWorks Animation,44,127000000.0,345130854.5,3.21387846118421,0.6818181818181818,6.9225
Malpaso Productions,48,24000000.0,47618000.0,3.1753167972727274,0.5416666666666666,6.8145
MTV Films,29,13000000.0,46118097.0,2.942392769230769,0.6206896551724138,6.297
Vertigo Entertainment,32,30000000.0,73155552.0,2.9410763125,0.5625,5.9755
Original Film,49,58000000.0,158162788.0,2.9173978909090907,0.6122448979591837,6.387
Working Title Films,78,25000000.0,73876293.5,2.8718544968287527,0.5769230769230769,6.723
Sony Pictures,54,40000000.0,103012195.5,2.7813341420454547,0.5555555555555556,6.250500000000001
Screen Gems,77,19000000.0,49002684.0,2.746476266666667,0.5454545454545454,6.146
Dune Entertainment,69,41000000.0,120081841.0,2.72339665,0.5507246376811594,6.1
Jerry Bruckheimer Films,27,120000000.0,237202299.0,2.708318575,0.5925925925925926,6.538
Happy Madison Productions,31,70000000.0,127994610.0,2.6099443066666668,0.5161290322580645,5.862
RatPac Entertainment,29,53000000.0,160602194.0,2.605418257142857,0.5862068965517241,6.636
Walt Disney Pictures,192,62500000.0,150323135.0,2.595873244761905,0.5104166666666666,6.678
20th Century Fox,459,25000000.0,55494066.0,2.561146642857143,0.5098039215686274,6.452
Stage 6 Films,38,8000000.0,23511105.0,2.5508388,0.5,6.934
New Line Cinema,228,27000000.0,58855454.0,2.550045660714286,0.5043859649122807,6.356999999999999
Plan B Entertainment,25,28000000.0,65046687.0,2.5286976666666665,0.52,7.04
dentsu,45,46000000.0,103590271.0,2.5121041176470587,0.5111111111111111,6.499
Paramount,461,28210303.0,61141030.0,2.5114953538461537,0.5032537960954447,6.5
TOHO,35,15000000.0,22300000.0,2.5,0.5142857142857142,7.055
Universal Pictures,573,25000000.0,63647656.0,2.499254411764706,0.49912739965095987,6.479
Fox 2000 Pictures,60,31000000.0,89198364.5,2.437818365,0.48333333333333334,6.4005
Legendary Pictures,49,100000000.0,269784201.0,2.436532303030303,0.46938775510204084,6.514
TSG Entertainment,63,45000000.0,127461872.0,2.3617086969696968,0.4603174603174603,6.533
Perfect World Pictures,31,35000000.0,91778968.0,2.35776775,0.5,6.6274999999999995
Walden Media,26,46500000.0,105209399.5,2.332227351309922,0.4230769230769231,6.498
Reliance Entertainment,32,37500000.0,65017592.5,2.3292651078088578,0.5,6.689
Columbia Pictures,443,35000000.0,66976317.0,2.3256829824561405,0.4717832957110609,6.446
Nickelodeon Movies,31,45000000.0,103291131.0,2.3214857859531772,0.41935483870967744,6.195
Dimension Films,74,20000000.0,28771495.0,2.2971053647343,0.47297297297297297,5.881
Constantin Film,42,25500000.0,39465939.5,2.262260279365079,0.4523809523809524,6.497
Skydance,25,140000000.0,252276927.0,2.2585171666666666,0.44,6.538
DreamWorks Pictures,122,57500000.0,121085833.5,2.2113291142857143,0.4262295081967213,6.685499999999999
Scott Rudin Productions,56,35000000.0,59050005.0,2.1875075885714286,0.42857142857142855,6.959
Huayi Brothers Pictures,29,35000000.0,59945012.0,2.15674892,0.4482758620689655,6.566
Relativity Media,124,37500000.0,87314311.0,2.1506580911764708,0.3870967741935484,6.3469999999999995
Touchstone Pictures,159,30000000.0,61698899.0,2.1458229,0.44654088050314467,6.404
Davis Entertainment,46,43500000.0,104639584.0,2.124466386904762,0.3695652173913043,5.982
di Bonaventura Pictures,33,61000000.0,132963417.0,2.1124252333333335,0.42424242424242425,6.398
Fox Searchlight Pictures,81,12000000.0,20354321.0,2.1076205,0.48148148148148145,6.732
Lionsgate,156,20000000.0,43747083.0,2.092445675,0.40384615384615385,6.292999999999999
Metro-Goldwyn-Mayer,276,16500000.0,20900000.0,2.0915919166666668,0.42028985507246375,6.568
The Weinstein Company,69,25000000.0,35078241.0,2.064483846153846,0.4057971014492754,6.555
BBC Film,55,10000000.0,23000000.0,2.050090909090909,0.38181818181818183,6.654
Orion Pictures,64,10000000.0,20876990.0,2.04686775,0.40625,6.3155
Warner Bros. Pictures,585,35000000.0,59195758.5,2.0396682773809522,0.41467576791808874,6.577
Imagine Entertainment,64,45000000.0,72760793.5,2.0096373516666666,0.328125,6.499499999999999
STX Films,30,30000000.0,44336815.0,2.0036437166666667,0.36666666666666664,6.491
Regency Enterprises,91,40000000.0,72436439.0,2.00040184,0.3956043956043956,6.251
DC Comics,25,54000000.0,148100000.0,1.905656976,0.36,6.525
Silver Pictures,50,40000000.0,62194749.0,1.8951423620833334,0.34,6.5885
Miramax,152,19000000.0,25658553.0,1.866123793859649,0.4276315789473684,6.5535
Mandate International,57,23000000.0,39187783.0,1.856765005,0.38596491228070173,6.3
Dino De Laurentiis Company,28,19000000.0,21751488.0,1.8214285714285714,0.35714285714285715,6.541
Focus Features,106,17500000.0,34619816.5,1.81711845,0.39622641509433965,6.8065
Spyglass Entertainment,41,55000000.0,86387857.0,1.8049903090909092,0.3170731707317073,6.178
Film4 Productions,85,10000000.0,13417292.0,1.758716380952381,0.35294117647058826,6.901
New Regency Pictures,55,35000000.0,63781810.0,1.758716380952381,0.34545454545454546,6.3
Village Roadshow Pictures,97,60000000.0,100020092.0,1.7533483833333334,0.3402061855670103,6.373
Sony Pictures Classics,35,12899867.0,13092000.0,1.7459772666666666,0.37142857142857144,7.278
Castle Rock Entertainment,47,28000000.0,35208854.0,1.739991870967742,0.3404255319148936,6.539
TriStar Pictures,116,20000000.0,31627770.5,1.729108068452381,0.31896551724137934,6.4515
Alcon Entertainment,29,30000000.0,65090821.0,1.7282643866666667,0.27586206896551724,6.248
Cannon Group,32,4510000.0,10715820.5,1.7207328055555555,0.375,6.193
Lakeshore Entertainment,39,30000000.0,42931041.0,1.7127146285714285,0.2564102564102564,6.162
Participant,40,20500000.0,40222459.0,1.6962212,0.375,6.9065
Summit Entertainment,125,35000000.0,61279452.0,1.6702929117647058,0.376,6.6
Lions Gate Films,36,9800000.0,18828195.5,1.6639359255793225,0.3055555555555556,6.429
American Zoetrope,34,10750000.0,19399185.0,1.642448856060606,0.35294117647058826,6.527
EuropaCorp,47,25000000.0,40651864.0,1.56751269035533,0.3191489361702128,6.361
Revolution Studios,40,43500000.0,72889868.5,1.555049425669643,0.375,5.9175
Canal+ España,28,6000000.0,8497412.5,1.550633388888889,0.2857142857142857,6.846
Scott Free Productions,49,55000000.0,71009334.0,1.5256359444444445,0.24489795918367346,6.624
Studio Babelsberg,36,41500000.0,75045573.0,1.513955393939394,0.3611111111111111,6.6155
TF1 Films Production,58,23000000.0,43314466.0,1.5123854202551834,0.3448275862068966,6.4475
StudioCanal,127,18000000.0,28283637.0,1.4635395166666667,0.3464566929133858,6.618
UK Film Council,32,10500000.0,13252145.5,1.4262495178082193,0.375,6.6385000000000005
Golan-Globus Productions,27,5000000.0,10499694.0,1.376062,0.2962962962962963,5.932
M6 Films,25,17289533.0,29456000.0,1.2857142857142858,0.32,6.3
CNC,44,10450000.0,10530870.5,1.28062945,0.2727272727272727,7.018
Bron Studios,30,23500000.0,26965725.5,1.2407250444444444,0.3,6.5915
Phoenix Pictures,28,35000000.0,41938212.5,1.2380863933395871,0.25,6.436
PolyGram Filmed Entertainment,45,25000000.0,31387164.0,1.235970588235294,0.4,6.531
CANAL+,177,15000000.0,17133446.0,1.2298075,0.2937853107344633,6.65
Ingenious Media,55,38000000.0,30718107.0,1.2096429333333334,0.2545454545454545,6.529
Hollywood Pictures,52,30000000.0,26690288.0,1.2036443813131315,0.28846153846153844,6.2605
FilmNation Entertainment,43,15000000.0,24121245.0,1.1406827307692309,0.3488372093023256,6.552
Pathé,45,18000000.0,19145732.0,1.1346580465116278,0.2222222222222222,6.7
IM Global,29,10000000.0,9489829.0,1.129,0.3103448275862069,6.153
Film i Väst,42,7223500.0,8049513.5,1.1023063099808061,0.21428571428571427,6.852
Davis Films,27,32000000.0,54600000.0,1.10130578,0.25925925925925924,6.286
France 3 Cinéma,53,12000000.0,9524340.0,1.005235786885246,0.1509433962264151,6.731
Ciné+,48,13374700.0,9768434.0,1.0026122692307693,0.22916666666666666,6.5715
SCOPE Pictures,25,10750000.0,9693463.0,0.8478438571428571,0.16,6.386
Epsilon Motion Pictures,40,39000000.0,28250000.0,0.8274184428571428,0.15,6.0695
Morgan Creek,46,30000000.0,28750000.0,0.8198724025974026,0.1956521739130435,6.1145
Gaumont,37,16000000.0,11875866.0,0.7461915415019763,0.1891891891891892,6.634
Nu Image,29,30000000.0,32593385.0,0.7058142555555555,0.13793103448275862,5.9
France 2 Cinéma,56,13000000.0,9961555.5,0.6806978319088319,0.08928571428571429,6.6445
Atresmedia,34,5100000.0,3931335.5,0.6295795016685855,0.20588235294117646,6.3100000000000005
Franchise Pictures,25,35000000.0,19924033.0,0.560847875,0.08,5.691
Millennium Media,58,23500000.0,14129935.0,0.5451763365079365,0.15517241379310345,6.0815
Wild Bunch,42,8466700.0,3738715.0,0.47917906976744185,0.19047619047619047,6.5415
France Télévisions,25,20500000.0,10435322.0,0.41346153846153844,0.0,6.826
Téléfilm Canada,26,13000000.0,4739200.0,0.4050543938679245,0.11538461538461539,6.798
ARTE France Cinéma,42,5870000.0,2128589.0,0.3610825069687198,0.11904761904761904,6.6285
EFO Films,32,19500000.0,4132837.5,0.26639742151492884,0.15625,6.0024999999999995
