Genre,Films,Median budget,Median revenue,Median ROI,Share breaking even,Median rating,Reliable
TV Movie,4,5250000.0,25450000.0,4.835714285714285,0.5,6.082000000000001,False
Documentary,66,2750000.0,7819567.5,4.042431333333333,0.6515151515151515,7.057499999999999,False
Animation,447,40000000.0,84460846.0,2.437499857142857,0.4899328859060403,6.87,True
Family,810,32000000.0,65117408.5,2.275351014,0.4580246913580247,6.5375,True
Horror,948,8000000.0,17086310.0,2.2647756880607313,0.46835443037974683,6.118,True
Music,263,13000000.0,20100000.0,2.213395428571429,0.46387832699619774,6.721,True
Romance,1401,14000000.0,22390000.0,2.166469564527038,0.4439685938615275,6.592,True
Adventure,1418,37755900.0,68353784.0,2.126074513333333,0.43441466854724964,6.495,True
Comedy,2799,15500000.0,29359216.0,2.1231594875,0.43837084673097537,6.344,True
Fantasy,799,32000000.0,58292295.0,1.94874212,0.392991239048811,6.501,True
Science Fiction,887,27000000.0,38793283.0,1.9040866153846154,0.38669673055242393,6.3,True
Action,1974,29000000.0,47160313.0,1.900941756748154,0.38855116514690985,6.365,True
Mystery,696,15000000.0,21871449.0,1.8068181818181817,0.40373563218390807,6.425,True
Thriller,2008,17000000.0,28000000.0,1.8033414393939395,0.3849601593625498,6.382,True
Crime,1234,16000000.0,22831479.5,1.7799037147826087,0.37439222042139386,6.552,True
Drama,3521,12500000.0,17807569.0,1.7050166091954022,0.37886963930701506,6.768,True
War,301,16000000.0,20416563.0,1.6963988083333332,0.38205980066445183,6.917,True
Western,129,12000000.0,13565059.0,1.568,0.3178294573643411,6.768,True
History,423,20000000.0,23800000.0,1.394895970876764,0.3049645390070922,7.0,True
