Release Month,Films,Median budget,Median revenue,Median ROI,Share breaking even
1,451,11800000.0,21011500.0,1.8984770666666666,0.4057649667405765
2,533,16000000.0,27450189.0,1.9130434782608696,0.4071294559099437
3,603,16000000.0,26533200.0,1.9172374166666666,0.41459369817578773
4,567,15000000.0,20036737.0,1.85,0.3844797178130511
5,571,15000000.0,24538513.0,2.139372631578947,0.44658493870402804
6,654,16000000.0,38317973.5,2.5881034047619047,0.5091743119266054
7,611,18000000.0,40000000.0,2.3388102,0.4779050736497545
8,687,14000000.0,21972336.0,1.7857142857142858,0.388646288209607
9,844,13000000.0,15761958.5,1.3521409113636365,0.32109004739336494
10,789,13000000.0,17869048.0,1.608482488888889,0.3650190114068441
11,609,18000000.0,30000000.0,2.0254474,0.41379310344827586
12,814,20000000.0,40369329.5,2.258429747368421,0.4619164619164619
